
สรุปหุ้น AOT ที่มีราคาสูงสุดและต่ำสุดในแต่ละวัน:
             max_price   min_price
Date                              
2023-10-23   62.086599   62.086599
2023-10-24   75.420441   75.420441
2023-10-25  128.329774  128.329774
2023-10-26  137.609696  137.609696
2023-10-27   91.912959   91.912959
2023-10-28   95.076085   95.076085
2023-10-29   96.088346   96.088346
2023-10-30   73.265520   73.265520
2023-10-31   62.609321   62.609321
2023-11-01  101.288681  101.288681
2023-11-02   90.890493   90.890493
2023-11-03   62.332916   62.332916
2023-11-04  110.950074  110.950074
2023-11-05  105.149583  105.149583
2023-11-06   64.720793   64.720793
2023-11-07   78.922051   78.922051
2023-11-08   49.510532   49.510532
2023-11-09   97.554134   97.554134
2023-11-10  135.400026  135.400026
2023-11-11   84.327395   84.327395
2023-11-12   99.444255   99.444255
2023-11-13  123.581113  123.581113
2023-11-14   52.683636   52.683636
2023-11-15  126.469109  126.469109
2023-11-16  121.368977  121.368977
2023-11-17   55.481745   55.481745
2023-11-18  104.898333  104.898333
2023-11-19   80.207795   80.207795
2023-11-20   54.268999   54.268999
2023-11-21  142.630397  142.630397
2023-11-22  136.533781  136.533781
2023-11-23  105.739683  105.739683
2023-11-24   49.471350   49.471350
2023-11-25  126.392746  126.392746
2023-11-26  129.677546  129.677546
2023-11-27   68.321820   68.321820
2023-11-28   96.433138   96.433138
2023-11-29   68.597769   68.597769
2023-11-30  103.342902  103.342902
2023-12-01   56.124191   56.124191
2023-12-02  105.331172  105.331172
2023-12-03   70.889418   70.889418
2023-12-04   81.502785   81.502785
2023-12-05   61.849742   61.849742
2023-12-06  108.676700  108.676700
2023-12-07   67.749237   67.749237
2023-12-08  101.402036  101.402036
2023-12-09   95.518955   95.518955
2023-12-10   53.183109   53.183109
2023-12-11   79.450721   79.450721
2023-12-12  132.025309  132.025309
2023-12-13   91.730109   91.730109
2023-12-14  140.986032  140.986032
2023-12-15  122.872326  122.872326
2023-12-16   50.046271   50.046271
2023-12-17  125.868360  125.868360
2023-12-18  138.670670  138.670670
2023-12-19   76.554109   76.554109
2023-12-20   69.339382   69.339382
2023-12-21  133.198516  133.198516
2023-12-22   87.578619   87.578619
2023-12-23   63.807964   63.807964
2023-12-24  134.763842  134.763842
2023-12-25   50.062525   50.062525
2023-12-26  117.042395  117.042395
2023-12-27  133.997603  133.997603
2023-12-28   70.071980   70.071980
2023-12-29   50.298929   50.298929
2023-12-30   86.085492   86.085492
2023-12-31   72.318065   72.318065
2024-01-01  112.064771  112.064771
2024-01-02  124.753283  124.753283
2024-01-03  117.622594  117.622594
2024-01-04  106.183316  106.183316
2024-01-05   60.956669   60.956669
2024-01-06   92.208893   92.208893
2024-01-07   51.101426   51.101426
2024-01-08   68.854213   68.854213
2024-01-09   95.199556   95.199556
2024-01-10   97.764024   97.764024
2024-01-11   91.999161   91.999161
2024-01-12  104.115237  104.115237
2024-01-13   48.341679   48.341679
2024-01-14   45.069340   45.069340
2024-01-15   82.313855   82.313855
2024-01-16   71.816221   71.816221
2024-01-17   82.918550   82.918550
2024-01-18   55.478147   55.478147
2024-01-19   86.429869   86.429869
2024-01-20   88.284676   88.284676
2024-01-21   47.476221   47.476221
2024-01-22  108.133870  108.133870
2024-01-23   99.842306   99.842306
2024-01-24   76.100313   76.100313
2024-01-25   80.811850   80.811850
2024-01-26   84.277467   84.277467
2024-01-27  100.138859  100.138859
2024-01-28  135.102003  135.102003
2024-01-29   94.001166   94.001166
2024-01-30  125.096240  125.096240

ค่าเฉลี่ยราคาหุ้น AOT: 91.12

สรุปหุ้น PTT ที่มีราคาสูงสุดและต่ำสุดในแต่ละวัน:
             max_price   min_price
Date                              
2023-10-23  122.629874  122.629874
2023-10-24   56.417765   56.417765
2023-10-25   79.978001   79.978001
2023-10-26   67.008138   67.008138
2023-10-27  131.136152  131.136152
2023-10-28   74.299805   74.299805
2023-10-29   54.623643   54.623643
2023-10-30  130.748402  130.748402
2023-10-31   79.555371   79.555371
2023-11-01   88.954602   88.954602
2023-11-02  104.705423  104.705423
2023-11-03  142.045614  142.045614
2023-11-04   96.281014   96.281014
2023-11-05   95.438208   95.438208
2023-11-06   68.517037   68.517037
2023-11-07   66.892009   66.892009
2023-11-08  103.142478  103.142478
2023-11-09   59.644388   59.644388
2023-11-10  105.028525  105.028525
2023-11-11   52.775933   52.775933
2023-11-12   79.300324   79.300324
2023-11-13   74.854213   74.854213
2023-11-14  121.263603  121.263603
2023-11-15   56.580034   56.580034
2023-11-16   96.539090   96.539090
2023-11-17   97.049413   97.049413
2023-11-18  123.740748  123.740748
2023-11-19  112.850526  112.850526
2023-11-20   77.795376   77.795376
2023-11-21   68.703828   68.703828
2023-11-22  139.416868  139.416868
2023-11-23   77.287958   77.287958
2023-11-24  101.981135  101.981135
2023-11-25  142.234866  142.234866
2023-11-26  144.731868  144.731868
2023-11-27  133.364338  133.364338
2023-11-28   67.643463   67.643463
2023-11-29   76.221826   76.221826
2023-11-30   55.986832   55.986832
2023-12-01   91.217592   91.217592
2023-12-02   70.278051   70.278051
2023-12-03   79.007857   79.007857
2023-12-04   59.840320   59.840320
2023-12-05  125.447555  125.447555
2023-12-06  116.341930  116.341930
2023-12-07   84.368144   84.368144
2023-12-08  100.873580  100.873580
2023-12-09   99.229023   99.229023
2023-12-10   99.660865   99.660865
2023-12-11   55.360770   55.360770
2023-12-12   55.546002   55.546002
2023-12-13  140.130160  140.130160
2023-12-14   52.593655   52.593655
2023-12-15   45.996728   45.996728
2023-12-16  105.015842  105.015842
2023-12-17   55.218758   55.218758
2023-12-18  122.051249  122.051249
2023-12-19  116.811520  116.811520
2023-12-20  112.754245  112.754245
2023-12-21   73.489914   73.489914
2023-12-22  129.568745  129.568745
2023-12-23  123.814360  123.814360
2023-12-24   95.528143   95.528143
2023-12-25  141.388948  141.388948
2023-12-26   52.876009   52.876009
2023-12-27  129.807021  129.807021
2023-12-28   97.233423   97.233423
2023-12-29  102.608405  102.608405
2023-12-30  113.375322  113.375322
2023-12-31   52.233262   52.233262
2024-01-01  118.436664  118.436664
2024-01-02  130.781642  130.781642
2024-01-03  117.624866  117.624866
2024-01-04  129.993742  129.993742
2024-01-05  140.964279  140.964279
2024-01-06   93.758349   93.758349
2024-01-07   86.317438   86.317438
2024-01-08   63.607448   63.607448
2024-01-09   77.883688   77.883688
2024-01-10   60.701323   60.701323
2024-01-11  138.106116  138.106116
2024-01-12   57.630626   57.630626
2024-01-13  115.569707  115.569707
2024-01-14  137.342814  137.342814
2024-01-15  120.050262  120.050262
2024-01-16   61.648066   61.648066
2024-01-17   72.381274   72.381274
2024-01-18  118.032706  118.032706
2024-01-19   73.913946   73.913946
2024-01-20  128.445638  128.445638
2024-01-21  123.451410  123.451410
2024-01-22   60.773595   60.773595
2024-01-23   89.652481   89.652481
2024-01-24  103.225072  103.225072
2024-01-25   74.719908   74.719908
2024-01-26  100.620008  100.620008
2024-01-27  133.686059  133.686059
2024-01-28   69.548540   69.548540
2024-01-29   57.196221   57.196221
2024-01-30   84.358292   84.358292

ค่าเฉลี่ยราคาหุ้น PTT: 94.67

สรุปหุ้น SCB ที่มีราคาสูงสุดและต่ำสุดในแต่ละวัน:
             max_price   min_price
Date                              
2023-10-23  130.095325  130.095325
2023-10-24  148.973272  148.973272
2023-10-25  137.087650  137.087650
2023-10-26  127.875409  127.875409
2023-10-27  119.122346  119.122346
2023-10-28  111.598829  111.598829
2023-10-29  127.186250  127.186250
2023-10-30   99.191006   99.191006
2023-10-31  147.726828  147.726828
2023-11-01   75.646829   75.646829
2023-11-02  121.391530  121.391530
2023-11-03  147.923103  147.923103
2023-11-04  112.077380  112.077380
2023-11-05   70.876322   70.876322
2023-11-06   55.247243   55.247243
2023-11-07  140.730602  140.730602
2023-11-08   98.644195   98.644195
2023-11-09   55.445717   55.445717
2023-11-10   72.908013   72.908013
2023-11-11  129.477691  129.477691
2023-11-12   85.195690   85.195690
2023-11-13  140.420452  140.420452
2023-11-14   70.647218   70.647218
2023-11-15  137.729920  137.729920
2023-11-16   61.998969   61.998969
2023-11-17  125.077384  125.077384
2023-11-18   88.408674   88.408674
2023-11-19   59.436185   59.436185
2023-11-20  140.612645  140.612645
2023-11-21  126.903655  126.903655
2023-11-22  114.803954  114.803954
2023-11-23  142.843708  142.843708
2023-11-24  120.874275  120.874275
2023-11-25  138.296173  138.296173
2023-11-26  104.493466  104.493466
2023-11-27   82.133038   82.133038
2023-11-28   83.677165   83.677165
2023-11-29  142.915642  142.915642
2023-11-30   75.470297   75.470297
2023-12-01  104.855241  104.855241
2023-12-02   63.717799   63.717799
2023-12-03   81.532546   81.532546
2023-12-04  108.650883  108.650883
2023-12-05  137.162581  137.162581
2023-12-06   56.705679   56.705679
2023-12-07   51.196979   51.196979
2023-12-08  100.088104  100.088104
2023-12-09  101.119278  101.119278
2023-12-10   59.764405   59.764405
2023-12-11  111.579617  111.579617
2023-12-12   70.601849   70.601849
2023-12-13   63.285757   63.285757
2023-12-14  136.560805  136.560805
2023-12-15   66.648273   66.648273
2023-12-16  106.175716  106.175716
2023-12-17   63.857035   63.857035
2023-12-18  141.542189  141.542189
2023-12-19   58.434668   58.434668
2023-12-20  120.696646  120.696646
2023-12-21   61.491309   61.491309
2023-12-22   58.472935   58.472935
2023-12-23  104.307168  104.307168
2023-12-24   72.558448   72.558448
2023-12-25  141.893937  141.893937
2023-12-26  140.463831  140.463831
2023-12-27  103.674901  103.674901
2023-12-28   94.470357   94.470357
2023-12-29   98.127768   98.127768
2023-12-30  120.063366  120.063366
2023-12-31  101.960922  101.960922
2024-01-01   62.397165   62.397165
2024-01-02  142.143801  142.143801
2024-01-03   62.833735   62.833735
2024-01-04   87.496154   87.496154
2024-01-05  104.596112  104.596112
2024-01-06  102.699524  102.699524
2024-01-07  140.465914  140.465914
2024-01-08  108.993544  108.993544
2024-01-09   66.571487   66.571487
2024-01-10   63.160110   63.160110
2024-01-11   47.112204   47.112204
2024-01-12   76.182252   76.182252
2024-01-13   87.793915   87.793915
2024-01-14   95.780539   95.780539
2024-01-15  134.592685  134.592685
2024-01-16   72.236326   72.236326
2024-01-17  111.255656  111.255656
2024-01-18  120.345055  120.345055
2024-01-19  129.366538  129.366538
2024-01-20   51.700208   51.700208
2024-01-21  114.084993  114.084993
2024-01-22  105.796800  105.796800
2024-01-23   96.946457   96.946457
2024-01-24   49.418491   49.418491
2024-01-25  135.579000  135.579000
2024-01-26   91.450378   91.450378
2024-01-27  129.397438  129.397438
2024-01-28  113.008403  113.008403
2024-01-29   65.640331   65.640331
2024-01-30   86.648611   86.648611

ค่าเฉลี่ยราคาหุ้น SCB: 100.29

สรุปหุ้น CPALL ที่มีราคาสูงสุดและต่ำสุดในแต่ละวัน:
             max_price   min_price
Date                              
2023-10-23   81.264903   81.264903
2023-10-24   61.961772   61.961772
2023-10-25   72.187833   72.187833
2023-10-26  143.641143  143.641143
2023-10-27   85.163572   85.163572
2023-10-28   85.816516   85.816516
2023-10-29   82.012790   82.012790
2023-10-30   54.853121   54.853121
2023-10-31   61.683671   61.683671
2023-11-01  109.575802  109.575802
